name,step,PR_inf,slope,PR_at_8192,r2,bias
model.layers.23.mlp.gate_proj,0,92.5390093779095,0.6764720712441225,92.19510418906562,0.888647137538468,0.9962836733270026
model.layers.23.mlp.gate_proj,262,113.08418295962207,1.2622403030702345,110.81973989574445,0.9447595112984426,0.9799755986680634
model.layers.23.mlp.gate_proj,548,112.07050516205673,1.1137575559902637,110.20432559819854,0.8840613962291258,0.9833481649684754
model.layers.23.mlp.gate_proj,813,111.89815602903413,1.1108147097459136,110.03441094341319,0.8840982809079164,0.9833442734736634
model.layers.23.mlp.up_proj,0,92.5390093779095,0.6764720712441225,92.19510418906562,0.888647137538468,0.9962836733270026
model.layers.23.mlp.up_proj,262,113.08418295962207,1.2622403030702345,110.81973989574445,0.9447595112984426,0.9799755986680634
model.layers.23.mlp.up_proj,548,112.07050516205673,1.1137575559902637,110.20432559819854,0.8840613962291258,0.9833481649684754
model.layers.23.mlp.up_proj,813,111.89815602903413,1.1108147097459136,110.03441094341319,0.8840982809079164,0.9833442734736634
model.layers.23.self_attn.k_proj,0,87.22838791796562,0.5095436683146536,87.37585569897611,0.45813232139745685,1.0016905939056122
model.layers.23.self_attn.k_proj,262,113.68791025529096,0.9721070344249148,112.19394787994241,0.7677363171913578,0.9868590919474746
model.layers.23.self_attn.k_proj,548,116.4504191784881,0.9235732028697221,115.1019514972756,0.7075196774994785,0.9884202419302103
model.layers.23.self_attn.k_proj,813,116.87640953040456,0.9685857271608552,115.36972046492411,0.7306520955409374,0.9871086982263217
model.layers.23.self_attn.o_proj,0,13.076722219966907,-6.885495568999822,13.398314469437052,0.27586503052041245,1.0245927262245507
model.layers.23.self_attn.o_proj,262,16.163527293159788,-5.404274610063735,16.503380367399462,0.28836397239359546,1.021025922626647
model.layers.23.self_attn.o_proj,548,16.630940169195544,-5.074404330004034,16.98071356211186,0.2790911536022398,1.0210314864558396
model.layers.23.self_attn.o_proj,813,16.78648677378144,-5.0225594966424465,17.14965672060482,0.2802752049454078,1.021634660767172
model.layers.23.self_attn.q_proj,0,87.22838791796562,0.5095436683146536,87.37585569897611,0.45813232139745685,1.0016905939056122
model.layers.23.self_attn.q_proj,262,113.68791025529096,0.9721070344249148,112.19394787994241,0.7677363171913578,0.9868590919474746
model.layers.23.self_attn.q_proj,548,116.4504191784881,0.9235732028697221,115.1019514972756,0.7075196774994785,0.9884202419302103
model.layers.23.self_attn.q_proj,813,116.87640953040456,0.9685857271608552,115.36972046492411,0.7306520955409374,0.9871086982263217
model.layers.23.self_attn.v_proj,0,87.22838791796562,0.5095436683146536,87.37585569897611,0.45813232139745685,1.0016905939056122
model.layers.23.self_attn.v_proj,262,113.68791025529096,0.9721070344249148,112.19394787994241,0.7677363171913578,0.9868590919474746
model.layers.23.self_attn.v_proj,548,116.4504191784881,0.9235732028697221,115.1019514972756,0.7075196774994785,0.9884202419302103
model.layers.23.self_attn.v_proj,813,116.87640953040456,0.9685857271608552,115.36972046492411,0.7306520955409374,0.9871086982263217
model.layers.4.mlp.down_proj,0,138.19136363414896,0.548071496180514,135.3348788937445,0.7384608574789084,0.9793294988537288
model.layers.4.mlp.down_proj,262,309.35745385353016,1.0813386536093315,306.2843546987478,0.7780950661923949,0.9900661868123682
model.layers.4.mlp.down_proj,548,350.17897984283957,1.0686755892767243,341.71454258310257,0.8680557827137059,0.9758282542728983
model.layers.4.mlp.down_proj,813,368.61290366619795,1.0968685284120365,357.7136720829264,0.8817072061144443,0.9704317687338979
model.layers.4.mlp.gate_proj,0,69.45404616093268,0.4833164582578609,68.8841138231668,0.63146817910597,0.9917941089213826
model.layers.4.mlp.gate_proj,262,209.58519718885867,1.085946705100501,204.59562608323762,0.947831672965017,0.9761931130034679
model.layers.4.mlp.gate_proj,548,262.9199021970255,1.0535950369158242,255.6335213466711,0.9498645360089395,0.9722866896363966
model.layers.4.mlp.gate_proj,813,273.1832489474893,1.0848261901309717,265.0468129666415,0.9542769990058338,0.9702161973247058
model.layers.4.mlp.up_proj,0,69.45404616093268,0.4833164582578609,68.8841138231668,0.63146817910597,0.9917941089213826
model.layers.4.mlp.up_proj,262,209.58519718885867,1.085946705100501,204.59562608323762,0.947831672965017,0.9761931130034679
model.layers.4.mlp.up_proj,548,262.9199021970255,1.0535950369158242,255.6335213466711,0.9498645360089395,0.9722866896363966
model.layers.4.mlp.up_proj,813,273.1832489474893,1.0848261901309717,265.0468129666415,0.9542769990058338,0.9702161973247058
model.layers.4.self_attn.k_proj,0,29.39415449634139,-0.14194161225642402,29.206153745187503,0.029897627149481965,0.9936041449609552
model.layers.4.self_attn.k_proj,262,34.22346177141013,-0.35027115970604367,34.10822822212568,0.21441944689427606,0.9966329078556071
model.layers.4.self_attn.k_proj,548,37.14215445778216,-0.37473533171044004,37.01536513147841,0.24961532853958823,0.9965863766344554
model.layers.4.self_attn.k_proj,813,37.52923314430078,-0.4084210483579056,37.42119267682063,0.2696601386860834,0.9971211650644517
model.layers.4.self_attn.o_proj,0,15.91755108552379,-4.339553573090989,16.280321777442182,0.39507965306804593,1.0227906095585466
model.layers.4.self_attn.o_proj,262,69.73742370697266,1.1652257980781908,70.3690572274705,0.3774300733402477,1.0090573107941567
model.layers.4.self_attn.o_proj,548,80.9565703175546,0.959063541921283,81.94038959981614,0.3293427842720572,1.0121524328217275
model.layers.4.self_attn.o_proj,813,84.13781449020168,0.9768816318218119,85.0210280776607,0.36840388894869724,1.0104972252109292
model.layers.4.self_attn.q_proj,0,29.39415449634139,-0.14194161225642402,29.206153745187503,0.029897627149481965,0.9936041449609552
model.layers.4.self_attn.q_proj,262,34.22346177141013,-0.35027115970604367,34.10822822212568,0.21441944689427606,0.9966329078556071
model.layers.4.self_attn.q_proj,548,37.14215445778216,-0.37473533171044004,37.01536513147841,0.24961532853958823,0.9965863766344554
model.layers.4.self_attn.q_proj,813,37.52923314430078,-0.4084210483579056,37.42119267682063,0.2696601386860834,0.9971211650644517
model.layers.4.self_attn.v_proj,0,29.39415449634139,-0.14194161225642402,29.206153745187503,0.029897627149481965,0.9936041449609552
