,R_over_ratio_shuf
532,0.9583628815777453
533,0.9648698721967166
534,1.107096039745841
535,0.9886367371386603
536,0.9453830321323415
537,1.0400693379778199
538,1.186069245140185
539,1.0536758789909164
540,0.9638199674880017
541,1.079692845272138
542,1.0453358290960866
543,1.0267347466049814
544,0.980733131402981
545,0.9317560216035298
546,1.081692370302447
547,1.045088268430477
548,1.112018884753653
549,1.091883424036099
550,0.9813060650606048
551,0.9749041550456533
552,0.9780279047866879
553,0.8764019141244559
554,1.0371035267221989
555,1.0924136663908335
556,0.7501619309751046
557,0.9664036175925713
558,1.0082217209532514
559,1.0144896180025467
560,1.0451973081758958
561,0.8124869064583065
562,1.049562515679892
563,0.8064315674107208
564,1.1510244439523372
565,0.96114904328526
566,1.0039219160626074
567,1.0013418781936243
568,1.0038150223765783
569,1.5450575849631425
570,0.7401523461473176
571,0.8332504371473264
572,0.851193505323542
573,0.9979117938142679
574,0.9578566084042905
575,1.1293600370507189
576,1.298921617694872
577,0.8568508219647458
578,1.0607410981703393
579,0.9717149881188607
580,1.0569587366292248
581,0.8812577156763626
582,1.158354407644264
583,0.7784258579370537
584,0.9796152957265105
585,1.3604633707595697
586,0.9908285525678424
587,0.9789188152911689
588,0.9371822317504144
589,0.9515719976816726
590,1.0861472054451518
591,1.0210706074872435
592,0.9509755030762547
593,1.0297350071960538
594,1.1439830747641642
595,1.0431487230832577
596,0.8558449498720421
597,1.0701595479745527
598,1.045046615592906
599,1.0319243024640907
600,0.9930150083419604
601,0.9405472597943353
602,1.146674873614343
603,1.0352826901099386
604,1.1196797795855973
605,1.1086493460139575
606,0.9746707379062679
607,0.978915744768169
608,0.9726787926689667
609,0.9474874904213474
610,1.066272677573515
611,1.0457380938710186
612,0.7352450264113709
613,0.9655720693548324
614,1.0065856611308903
615,1.0984323061577632
616,1.0435913681352549
617,0.8674252909280934
618,1.0660575705565751
619,0.8334761159352451
620,1.1993048492474208
621,0.9523045614788817
622,0.9971059429773371
623,0.9102392649345366
624,0.9589381910431318
625,1.539224977626414
626,0.7417290522866444
627,0.8189930710231038
628,0.8406665994215783
629,0.9989144425515062
630,0.9522944463501907
631,1.1163216732418486
632,1.2930289583044543
633,0.8415284075624251
634,1.05554464462275
635,0.9643151579862786
636,1.0899554418412187
637,0.8710259850768411
638,1.160185853933248
639,0.8087005974129936
640,0.9776751283824863
641,1.3380469823276049
642,0.9994747292789599
643,0.9729079298464592
644,0.9507733552910289
645,0.9421167699994468
646,1.0898142374452888
647,1.0143588234875143
648,0.9476702976244732
649,1.0420911504725463
650,1.1521377686786076
651,1.0476963813378006
652,0.8870887380077245
653,1.0689986913753506
654,1.0461687557448631
655,1.0258385101343368
656,0.9904860688947195
657,0.9376076638156308
658,1.1202040019187698
659,1.0591544827401085
660,1.1179275025250803
661,1.0836623438518882
662,0.9826967335938848
663,0.982065065225606
664,0.9716904528163378
665,0.8739051601313077
666,1.016740920062242
667,1.070285583897613
668,0.7454592467806106
669,0.9703095430937052
670,1.0239413700009117
671,1.0338551317305422
672,1.0049818583757382
673,0.9117706265754049
674,0.9935239253714601
675,0.7850833129215953
676,0.8000772457311112
677,1.061268145120244
678,1.2547058392034982
679,0.8499595769496254
680,1.1549975662496113
681,1.1452011047921857
682,0.8139216406812246
683,0.9651544817941637
684,2.2785322803643338
685,0.9955143477869004
686,0.7837086355555624
687,1.0008417997503147
688,0.9684516459901211
689,1.2774456125726892
690,1.0354800704887541
691,0.9402861998242751
692,0.7323539817572575
693,1.0205781928651114
694,0.8371383587930109
695,1.0955624307812637
696,0.9952277000048227
697,1.0790903862682208
698,1.0381053056313445
699,0.9485593780664747
700,0.9622427446768401
701,1.0571428324836771
702,0.8857613680388077
703,0.939903136452353
704,0.9323303391624655
705,1.0497432997289566
706,1.0687002236885574
707,1.0272864569707854
708,0.9197394970091919
709,0.9610217065324234
710,0.9968927279758338
711,1.0113376201393693
712,0.9825502901619587
713,0.9586218366616589
714,0.9879577057006361
715,0.8836886556721771
716,0.8635656758697968
717,0.9391106451335597
718,0.981127778001928
719,1.0277067846957195
720,1.0698374470993328
721,0.8330101238114763
722,1.082320620193043
723,1.201041696006257
724,0.8836468823653665
725,1.0287877251433046
726,0.952107245817614
727,0.9606575547980862
